ts,ticker,strike,expiration,option_type,volume,oi,vol_oi,last_price,side,sentiment,notional,spot,conviction,signal,regime,is_sweep,sweep_side,sweep_notional,sweep_venues,macro_regime_tag
1777395297,SPY,703.0,2026-04-29,put,6274,2114.0,3.0,0.86,BID,BULLISH,539564.0,710.29,LOW,MAGNET FADE,NEG,0,,,,HARD
1777395297,SPY,711.0,2026-04-30,call,6483,2161.0,3.0,3.98,ASK,BULLISH,2580234.0,710.29,MEDIUM,MAGNET FADE,NEG,0,,,,HARD
1777395297,NDX,26850.0,2026-04-28,put,509,53.0,9.6,11.9,MID,NEUTRAL,605710.0,27317.65,LOW,PINNING,NEG,0,,,,HARD
1777395297,MSFT,420.0,2026-05-01,call,2876,6220.0,0.5,19.88,BID,BEARISH,5717488.0,428.7499,MEDIUM,MAGNET UP,POS,0,,,,HARD
1777395297,NVDA,207.5,2026-05-01,call,8818,11738.0,0.8,6.19,ASK,BULLISH,5458342.0,210.765,HIGH,MAGNET UP,POS,0,,,,HARD
1777395297,NVDA,210.0,2026-05-08,call,7602,36371.0,0.2,6.7,MID,NEUTRAL,5093340.0,210.765,MEDIUM,MAGNET UP,POS,0,,,,HARD
1777395297,NVDA,210.0,2026-05-22,call,4565,6650.0,0.7,10.98,MID,NEUTRAL,5012370.0,210.765,MEDIUM,MAGNET UP,POS,0,,,,HARD
1777395352,MU,490.0,2026-05-01,call,2970,1097.0,2.7,22.75,BID,BEARISH,6756750.0,496.605,MEDIUM,MAGNET UP,POS,0,,,,HARD
1777395352,MU,502.5,2026-05-01,call,1092,351.0,3.1,16.8,MID,NEUTRAL,1834560.0,496.605,LOW,MAGNET UP,POS,0,,,,HARD
1777395352,MU,550.0,2026-06-18,call,1409,2349.0,0.6,37.35,MID,NEUTRAL,5262615.0,496.605,LOW,MAGNET UP,POS,0,,,,HARD
1777395607,SPY,710.0,2026-05-08,put,6935,4033.0,1.7,7.33,ASK,BEARISH,5083355.0,710.12,MEDIUM,MAGNET FADE,NEG,0,,,,SOFT
1777395607,USO,135.0,2026-05-01,put,2320,773.0,3.0,2.63,MID,NEUTRAL,610160.0,138.7199,LOW,MAGNET UP,POS,0,,,,SOFT
1777395607,MSFT,427.5,2026-05-01,call,3151,1591.0,2.0,16.14,MID,NEUTRAL,5085714.0,428.545,MEDIUM,MAGNET UP,POS,0,,,,SOFT
1777395607,MSFT,450.0,2026-06-18,call,3381,63892.0,0.1,15.3,MID,NEUTRAL,5172930.0,428.545,MEDIUM,MAGNET UP,POS,0,,,,SOFT
1777395607,NVDA,220.0,2026-05-08,call,18987,14210.0,1.3,2.83,MID,NEUTRAL,5373321.0,210.71,MEDIUM,MAGNET UP,POS,0,,,,SOFT
1777395638,AMZN,270.0,2026-05-15,call,7675,23966.0,0.3,6.52,BID,BEARISH,5004100.0,259.325,HIGH,PINNING,POS,0,,,,SOFT
1777395691,MU,500.0,2026-05-08,call,1909,2163.0,0.9,26.6,BID,BEARISH,5077940.0,496.81,LOW,MAGNET UP,POS,0,,,,SOFT
1777395691,MU,450.0,2026-06-18,call,625,10409.0,0.1,81.66,BID,BEARISH,5103750.0,496.81,LOW,MAGNET UP,POS,0,,,,SOFT
1777395721,SMH,460.0,2026-06-18,call,1112,4887.0,0.2,47.91,BID,BEARISH,5327592.0,487.72,LOW,MAGNET FADE,NEG,0,,,,SOFT
1777395721,RMBS,110.0,2026-05-15,call,513,160.0,3.2,7.35,BID,BEARISH,377055.0,109.23,LOW,MAGNET UP,POS,0,,,,SOFT
1777395807,SBUX,93.0,2026-05-01,put,2936,767.0,3.8,1.61,MID,NEUTRAL,472696.0,96.94,LOW,MAGNET UP,POS,0,,,,SOFT
1777396031,IWM,270.0,2026-04-29,put,6313,1574.0,4.0,0.48,ASK,BEARISH,303024.0,273.375,LOW,MAGNET FADE,NEG,0,,,,SOFT
1777396031,QQQ,666.0,2026-04-29,put,562,187.0,3.0,11.5,BID,BULLISH,646300.0,654.97,LOW,MAGNET UP,POS,0,,,,SOFT
1777396031,SPY,700.0,2026-05-08,call,3382,3363.0,1.0,14.79,ASK,BULLISH,5001978.0,709.64,MEDIUM,MAGNET FADE,NEG,0,,,,SOFT
1777396031,GLD,415.0,2026-05-01,call,1231,414.0,3.0,8.5,ASK,BULLISH,1046350.0,421.47,MEDIUM,MAGNET UP,POS,0,,,,SOFT
1777396031,NVDA,210.0,2026-05-04,call,7816,1847.0,4.2,5.1,BID,BEARISH,3986160.0,210.31,MEDIUM,MAGNET UP,POS,0,,,,SOFT
1777396062,TSLA,370.0,2026-05-04,call,2066,674.0,3.1,11.89,ASK,BULLISH,2456474.0,376.1703,MEDIUM,MAGNET UP,POS,0,,,,SOFT
1777396062,TSLA,377.5,2026-05-08,put,3240,984.0,3.3,11.5,MID,NEUTRAL,3726000.0,376.1703,LOW,MAGNET UP,POS,0,,,,SOFT
1777396062,UNH,390.0,2026-05-15,call,5435,1841.0,3.0,2.59,BID,BEARISH,1407665.0,368.0435,MEDIUM,MAGNET UP,POS,0,,,,SOFT
1777396062,AMD,282.5,2026-05-08,put,1774,239.0,7.4,4.1,MID,NEUTRAL,727340.0,321.401,LOW,MAGNET UP,POS,0,,,,SOFT
1777396062,SNDK,1200.0,2026-05-15,call,1072,331.0,3.2,42.8,ASK,BULLISH,4588160.0,1004.25,MEDIUM,MAGNET UP,POS,0,,,,SOFT
1777396147,NBIS,134.0,2026-05-01,put,673,227.0,3.0,6.31,MID,NEUTRAL,424663.0,133.45,LOW,MAGNET FADE,NEG,0,,,,SOFT
1777396238,SPX,7125.0,2026-04-29,call,1975,667.0,3.0,22.6,BID,BEARISH,4463500.0,7121.65,LOW,MAGNET FADE,NEG,0,,,,SOFT
1777396381,QQQ,664.0,2026-04-29,call,4600,1546.0,3.0,1.0,ASK,BULLISH,460000.0,655.33,MEDIUM,MAGNET UP,POS,0,,,,SOFT
1777396381,QQQ,656.0,2026-05-04,put,834,169.0,4.9,8.18,ASK,BEARISH,682212.0,655.33,LOW,MAGNET UP,POS,0,,,,SOFT
1777396381,SPY,706.0,2026-04-29,call,1002,323.0,3.1,5.51,BID,BEARISH,552102.0,709.94,LOW,MAGNET FADE,NEG,0,,,,SOFT
1777396381,SPY,700.0,2026-05-01,call,4191,12765.0,0.3,12.24,ASK,BULLISH,5129784.0,709.94,MEDIUM,MAGNET FADE,NEG,0,,,,SOFT
1777396432,GLD,429.0,2026-05-22,call,525,105.0,5.0,7.2,BID,BEARISH,378000.0,421.83,LOW,MAGNET UP,POS,0,,,,SOFT
1777396432,MSFT,460.0,2026-05-01,put,517,40.0,12.9,37.57,MID,NEUTRAL,1942369.0,427.92,LOW,MAGNET UP,POS,0,,,,SOFT
1777396432,AVGO,390.0,2026-05-11,put,527,4.0,131.8,10.95,MID,NEUTRAL,577065.0,397.22,LOW,MAGNET UP,POS,0,,,,SOFT
