status,cum_ofi,abs_ofi,n_quotes,n_trades,total_volume,mean_spread,std_spread,mean_mp_dev_abs,spread_spike_minutes,day,ticker,vix1d_prior,vix9d_prior,vix_spread_prior
ok,-70245.0,70245.0,3347036.0,16596.0,1055166.0,0.017658632891908912,0.015945858589467697,0.0032191777175291938,17.0,2025-12-26,QQQ,7.39,9.17,-1.7800000000000002
ok,353110.0,353110.0,2158669.0,29788.0,1597601.0,0.017954272452058568,0.028931770726947782,0.0034595679228560166,24.0,2025-12-29,SPY,7.72,9.65,-1.9300000000000006
ok,653667.0,653667.0,3421653.0,12121.0,765875.0,0.030779967857527932,0.02581376469055083,0.006400693020236115,21.0,2025-12-29,QQQ,7.72,9.65,-1.9300000000000006
ok,-407322.0,407322.0,1555746.0,21099.0,1347470.0,0.0171951976736566,0.01596670872545692,0.0034504481818536125,19.0,2025-12-30,SPY,8.83,11.37,-2.539999999999999
ok,269769.0,269769.0,3693827.0,14298.0,896618.0,0.020025133824620952,0.01625561620674312,0.0041646647103547605,26.0,2025-12-30,QQQ,8.83,11.37,-2.539999999999999
ok,21794.0,21794.0,2418845.0,33905.0,1919132.0,0.01675130311689803,0.021866164311665777,0.0029401683583999746,16.0,2025-12-31,SPY,10.12,11.46,-1.3400000000000016
ok,-1007683.0,1007683.0,3592533.0,21410.0,1244707.0,0.016638414367670072,0.016212294146113283,0.0030597277809610345,22.0,2025-12-31,QQQ,10.12,11.46,-1.3400000000000016
ok,-1984035.0,1984035.0,3760632.0,27458.0,1682223.0,0.02080175003476809,0.016420481274510842,0.0034134113404242356,17.0,2026-01-02,SPY,10.72,12.0,-1.2799999999999994
ok,-1365957.0,1365957.0,6765555.0,23887.0,1456012.0,0.02956935054346645,0.02398142021913042,0.00492109284472979,18.0,2026-01-02,QQQ,10.72,12.0,-1.2799999999999994
ok,-982175.0,982175.0,3468590.0,32064.0,2002060.0,0.016872784220202566,0.016723826420701186,0.0028337794226859117,16.0,2026-01-05,SPY,9.89,11.72,-1.83
ok,473001.0,473001.0,6013652.0,16519.0,1190174.0,0.027915172634784505,0.03457168382757512,0.005025400515785477,22.0,2026-01-05,QQQ,9.89,11.72,-1.83
ok,194491.0,194491.0,2969897.0,40522.0,2290966.0,0.014450094111228995,0.015057449271909744,0.0026716326625488714,19.0,2026-01-06,SPY,8.34,12.44,-4.1
