ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2026-03-31 15:00:00+00:00,33,95,16253,324.755,325.12,324.755,325.045,1004,TSM
2026-03-31 15:01:00+00:00,33,95,16253,325.14,325.35,324.88,325.3,2988,TSM
2026-03-31 15:01:00+00:00,33,95,10996,323.98,324.25,323.41,324.19,3982,MU
2026-03-31 15:02:00+00:00,33,95,16253,325.34,325.5,325.11,325.11,3422,TSM
2026-03-31 15:02:00+00:00,33,95,10996,324.155,324.62,322.975,323.05,4409,MU
2026-03-31 15:03:00+00:00,33,95,10996,322.92,323.33,322.525,323.165,2432,MU
2026-03-31 15:03:00+00:00,33,95,16253,325.24,325.45,325.0,325.45,1427,TSM
2026-03-31 15:04:00+00:00,33,95,10996,323.21,323.26,322.7,323.16,3973,MU
2026-03-31 15:04:00+00:00,33,95,16253,325.39,325.915,325.37,325.845,1276,TSM
2026-03-31 15:05:00+00:00,33,95,10996,323.25,324.42,323.15,323.78,6392,MU
2026-03-31 15:05:00+00:00,33,95,16253,325.87,326.1,325.81,326.1,1763,TSM
2026-03-31 15:06:00+00:00,33,95,10996,324.11,325.74,324.11,325.6,7677,MU
2026-03-31 15:06:00+00:00,33,95,16253,326.15,326.67,326.1,326.6,729,TSM
2026-03-31 15:07:00+00:00,33,95,16253,326.37,326.46,326.35,326.46,82,TSM
2026-03-31 15:07:00+00:00,33,95,10996,325.51,325.51,323.13,323.19,3571,MU
2026-03-31 15:08:00+00:00,33,95,16253,326.31,326.31,325.95,325.975,294,TSM
2026-03-31 15:08:00+00:00,33,95,10996,323.14,323.48,322.23,322.53,4790,MU
2026-03-31 15:09:00+00:00,33,95,10996,322.365,322.52,322.0,322.37,3773,MU
2026-03-31 15:09:00+00:00,33,95,16253,325.95,326.0,325.84,325.99,558,TSM
2026-03-31 15:10:00+00:00,33,95,10996,322.43,323.89,322.43,323.605,1527,MU
2026-03-31 15:10:00+00:00,33,95,16253,325.97,326.27,325.87,326.26,1483,TSM
2026-03-31 15:11:00+00:00,33,95,16253,326.25,326.5,326.21,326.28,3284,TSM
2026-03-31 15:11:00+00:00,33,95,10996,323.53,323.76,322.3,322.55,2542,MU
2026-03-31 15:12:00+00:00,33,95,10996,322.845,323.09,322.68,322.735,2013,MU
2026-03-31 15:12:00+00:00,33,95,16253,326.38,326.7,326.38,326.7,668,TSM
2026-03-31 15:13:00+00:00,33,95,10996,322.68,322.705,321.92,322.64,1695,MU
2026-03-31 15:13:00+00:00,33,95,16253,326.55,327.24,326.55,327.2,1032,TSM
2026-03-31 15:14:00+00:00,33,95,16253,327.37,327.66,327.34,327.62,701,TSM
2026-03-31 15:14:00+00:00,33,95,10996,322.625,323.4,322.625,323.0,2879,MU
2026-03-31 15:15:00+00:00,33,95,10996,323.14,323.275,322.51,323.21,2121,MU
2026-03-31 15:15:00+00:00,33,95,16253,327.61,327.69,327.24,327.445,476,TSM
2026-03-31 15:16:00+00:00,33,95,10996,323.29,323.725,322.76,323.29,3879,MU
2026-03-31 15:16:00+00:00,33,95,16253,327.445,327.53,327.03,327.135,785,TSM
2026-03-31 15:17:00+00:00,33,95,16253,327.11,327.12,326.62,326.88,813,TSM
2026-03-31 15:17:00+00:00,33,95,10996,323.13,323.13,322.825,322.915,1380,MU
2026-03-31 15:18:00+00:00,33,95,10996,323.19,324.0,323.19,323.61,4612,MU
2026-03-31 15:18:00+00:00,33,95,16253,327.13,327.2,326.95,327.035,602,TSM
2026-03-31 15:19:00+00:00,33,95,16253,327.02,327.02,326.59,326.71,421,TSM
2026-03-31 15:19:00+00:00,33,95,10996,323.6,323.74,323.09,323.18,1361,MU
2026-03-31 15:20:00+00:00,33,95,10996,323.0,323.0,321.935,322.09,3626,MU
2026-03-31 15:20:00+00:00,33,95,16253,326.5,326.55,326.32,326.51,585,TSM
